timestamp,frame,track_id,plate,raw_ocr,confidence,stability,x1,y1,x2,y2
2026-02-24T00:10:47.265833,92,1,,,0.000,0.000,728,378,774,393
2026-02-24T00:10:50.387432,186,2,,,0.000,0.000,751,422,811,441
2026-02-24T00:10:51.949889,225,3,,,0.000,0.000,681,474,768,497
2026-02-24T00:10:52.220305,233,4,,,0.000,0.000,646,483,738,507
2026-02-24T00:10:52.560482,242,5,,,0.000,0.000,582,496,681,522
2026-02-24T00:10:52.825155,250,6,,,0.000,0.000,500,513,605,540
2026-02-24T00:10:53.061199,255,7,,67,0.065,0.000,378,537,495,567
2026-02-24T00:10:53.313681,261,8,,,0.000,0.000,281,558,404,594
2026-02-24T00:10:53.734451,270,10,,,0.000,0.000,-16,638,102,683
2026-02-24T00:11:01.501049,491,13,,E,0.061,0.000,737,390,802,411
2026-02-24T00:11:02.985183,528,14,,,0.000,0.000,713,395,782,415
2026-02-24T00:11:06.326733,591,15,,AEAN4AMJL,0.018,0.000,576,461,683,491
2026-02-24T00:11:07.624102,611,16,,MWD,0.005,0.000,543,495,673,528
2026-02-24T00:11:08.080737,618,17,,IFNVA,0.007,0.000,525,511,669,553
2026-02-24T00:11:08.428371,624,18,,YA2WT,0.024,0.000,491,532,648,574
2026-02-24T00:11:08.794972,630,19,,KA029231,0.235,0.000,462,551,634,600
2026-02-24T00:11:09.226859,637,20,,KA02H93JT,0.217,0.000,412,577,600,633
2026-02-24T00:11:09.678285,644,21,,KA02H4909T,0.382,0.000,327,610,541,670
2026-02-24T00:11:14.990293,781,12,,,0.000,0.000,1000,361,1082,386
